Title,Journal,DOI,Link
Modelling the impact of building energy consumption on urban thermal environment: The bias of the inventory approach,Urban Climate,10.1016/j.uclim.2023.101802,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182909656&doi=10.1016%2fj.uclim.2023.101802&partnerID=40&md5=ef5c54e8a4055070fba07ecc204c7c63
Defining weather scenarios for simulation-based assessment of thermal resilience of buildings under current and future climates: A case study in Brazil,Sustainable Cities and Society,10.1016/j.scs.2024.105460,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191898222&doi=10.1016%2fj.scs.2024.105460&partnerID=40&md5=900c4c769df4e9a7e5f68403b9255e1b
Assessing the impact of urban microclimate on building energy demand by coupling CFD and building performance simulation,Journal of Building Engineering,10.1016/j.jobe.2022.104681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132450343&doi=10.1016%2fj.jobe.2022.104681&partnerID=40&md5=06b62529d736eb3ac9a0f182091c9f64
The extreme heat wave of July–August 2021 in the Athens urban area (Greece): Atmospheric and human-biometeorological analysis exploiting ultra-high resolution numerical modeling and the local climate zone framework,Science of the Total Environment,10.1016/j.scitotenv.2022.159300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139856719&doi=10.1016%2fj.scitotenv.2022.159300&partnerID=40&md5=1c634c4d8c50b0145ed5659262e71d46
"Climate change and infrastructure risk: Indoor heat exposure during a concurrent heat wave and blackout event in Phoenix, Arizona",Urban Climate,10.1016/j.uclim.2021.100787,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100813160&doi=10.1016%2fj.uclim.2021.100787&partnerID=40&md5=4898a6a424ab53b789c4f03d2fb437db
Modelling the effect of BIPV window in the built environment: Uncertainty and sensitivity,Building and Environment,10.1016/j.buildenv.2021.108605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122959998&doi=10.1016%2fj.buildenv.2021.108605&partnerID=40&md5=449f51ea0b1f5c687f78b65bc2e5eda7
"Impact of air conditioning systems on the outdoor thermal environment during summer in Berlin, Germany",International Journal of Environmental Research and Public Health,10.3390/ijerph17134645,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087200071&doi=10.3390%2fijerph17134645&partnerID=40&md5=7bf47d49ff744ffb3b1af827e2665705
A New Methodology to Assess Building Integrated Roof Top Photovoltaic Installations at City Scales: The Tropical Coastal City Case,Journal of Engineering for Sustainable Buildings and Cities,10.1115/1.4045347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140426454&doi=10.1115%2f1.4045347&partnerID=40&md5=d23e66e22271c29501a10b6aa68fbb77
Simulation of interaction between high-temperature process and heat emission from electricity system in summer,Global Energy Interconnection,10.1016/j.gloei.2022.12.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147421874&doi=10.1016%2fj.gloei.2022.12.010&partnerID=40&md5=66a007afbc330eeb768ab9aacfd30c45
Spatially Explicit Correction of Simulated Urban Air Temperatures Using Crowdsourced Data,Journal of Applied Meteorology and Climatology,10.1175/JAMC-D-22-0142.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176500975&doi=10.1175%2fJAMC-D-22-0142.1&partnerID=40&md5=ad87236e0fb1f563222aa9d04b84e6d4
"Built form, urban climate and building energy modelling: case-studies in Rome and Antofagasta",Journal of Building Performance Simulation,10.1080/19401493.2019.1707876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078639806&doi=10.1080%2f19401493.2019.1707876&partnerID=40&md5=25cc68b78244fe13c8efc21cafcd8c0b
Significance of external wind conditions on the convective heat transfer coefficients (CHTC) and energy performance in multi-zone high-rise buildings,Energy and Buildings,10.1016/j.enbuild.2024.114570,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199888561&doi=10.1016%2fj.enbuild.2024.114570&partnerID=40&md5=b1de5e5a6ad515837c85bbf09d33f5ae
An urban thermal tool chain to simulate summer thermal comfort in passive urban buildings,Building and Environment,10.1016/j.buildenv.2022.108987,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126629457&doi=10.1016%2fj.buildenv.2022.108987&partnerID=40&md5=5450c6bb2a3670778ccd5094fe1db35d
High Resolution WRF Simulations for the Tel-Aviv Metropolitan Area Reveal the Urban Fingerprint in the Sea-Breeze Hodograph,Journal of Geophysical Research: Atmospheres,10.1029/2020JD033691,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102600545&doi=10.1029%2f2020JD033691&partnerID=40&md5=d2d1642e8c6cb3e9b655f5c53a8a5c26
On the robustness of thermal comfort against uncertain future climate: A Bayesian bootstrap method,Building and Environment,10.1016/j.buildenv.2022.109665,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141285232&doi=10.1016%2fj.buildenv.2022.109665&partnerID=40&md5=fac33da8375d3128f194b24c02eda04a
Quantifying the Contribution of Urbanization to Summer Extreme High-Temperature Events in the Beijing–Tianjin–Hebei Urban Agglomeration,Journal of Applied Meteorology and Climatology,10.1175/JAMC-D-21-0201.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132173174&doi=10.1175%2fJAMC-D-21-0201.1&partnerID=40&md5=163dd33d3f25ab3fceeba16966d29f70
THE IDEALIZED AND THE REALISTIC VALIDATION STUDIES OF BUILDING SIMULATION MODELS IN GHANA,Journal of Green Building,10.3992/jgb.17.3.141,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139505358&doi=10.3992%2fjgb.17.3.141&partnerID=40&md5=30793abe651629bd6fc55de94adcbcee
Impact of different roofing mitigation strategies on near-surface temperature and energy consumption over the Chicago metropolitan area during a heatwave event,Science of the Total Environment,10.1016/j.scitotenv.2022.160508,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146054431&doi=10.1016%2fj.scitotenv.2022.160508&partnerID=40&md5=a84cfca1c282f39cee34491b1d760582
A data schema for exchanging information between urban building energy models and urban microclimate models in coupled simulations,Journal of Building Performance Simulation,10.1080/19401493.2022.2142295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141724258&doi=10.1080%2f19401493.2022.2142295&partnerID=40&md5=5bc8c7939da1114eb1b762e78b2779e7
Generating meteorological files of future climates with heatwaves in urban context to evaluate building overheating: An energy-efficient dwelling case study,Building and Environment,10.1016/j.buildenv.2024.111874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199387283&doi=10.1016%2fj.buildenv.2024.111874&partnerID=40&md5=0ad4cdccad791e524ce9407843f52b14
Unravelling the impact of courtyard geometry on cooling energy consumption in buildings,Building and Environment,10.1016/j.buildenv.2023.110349,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153674491&doi=10.1016%2fj.buildenv.2023.110349&partnerID=40&md5=ec9ea8c38deaa364b165d1da502221b2
Multiscale numerical assessment of urban overheating under climate projections: A review,Urban Climate,10.1016/j.uclim.2023.101551,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158014568&doi=10.1016%2fj.uclim.2023.101551&partnerID=40&md5=47974ddc415cf71bd29443e30067ff6b
A statistical model of the spatial variability of weather for use in building simulation practice,Building and Environment,10.1016/j.buildenv.2021.108331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115023434&doi=10.1016%2fj.buildenv.2021.108331&partnerID=40&md5=888bcedf7e128b8d52dadb48a4827a7f
"Comparison of urban heat island intensity estimation methods using urbanized WRF in Berlin, Germany",Atmosphere,10.3390/atmos11121338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098049785&doi=10.3390%2fatmos11121338&partnerID=40&md5=7de7c160cd05019474d8b4c5e42c41aa
"A Methodology of Creating a Synthetic, Urban-Specific Weather Dataset Using a Microclimate Model for Building Energy Modelling",Buildings,10.3390/buildings12091407,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138734255&doi=10.3390%2fbuildings12091407&partnerID=40&md5=10966c5e6d1e52ebea2030b619246da9
Urban meteorological forcing data for building energy simulations,Building and Environment,10.1016/j.buildenv.2021.108088,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110470695&doi=10.1016%2fj.buildenv.2021.108088&partnerID=40&md5=c345dd17ee972baff2c51df369c944d1
Multi-objective optimization of buildings in urban scale for early stage planning and parametric design,Sustainable Cities and Society,10.1016/j.scs.2024.105714,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200144548&doi=10.1016%2fj.scs.2024.105714&partnerID=40&md5=98218722481b43be5bea38ed0ac9d162
Assessing the impact of climate change on building heating and cooling energy demand in Canada,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2019.109681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077184505&doi=10.1016%2fj.rser.2019.109681&partnerID=40&md5=21784e11636f85d2b5f9933f816172ca
How will United States commercial building energy use be impacted by IPCC climate scenarios?,Energy,10.1016/j.energy.2022.125945,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141990241&doi=10.1016%2fj.energy.2022.125945&partnerID=40&md5=8d8636f25322f4f5d3f80c55c75301cd
Compound Climate and Infrastructure Events: How Electrical Grid Failure Alters Heat Wave Risk,Environmental Science and Technology,10.1021/acs.est.1c00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106524920&doi=10.1021%2facs.est.1c00024&partnerID=40&md5=154e83837edaaed6d6c148a017897c98
Moderating AC Usage Can Reduce Thermal Disparity between Indoor and Outdoor Environments,Environmental Science and Technology,10.1021/acs.est.4c00424,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195264950&doi=10.1021%2facs.est.4c00424&partnerID=40&md5=c763d97de3527bf2301f71d741374911
